ip,method,uri_full,uri_norm,timestamp,status,label,attack_tags,anomaly_score
10.34.239.41,GET,/,/,1776396281,302,normal,,
10.34.239.41,GET,/TEST,/TEST,1776396281,200,normal,,
10.34.239.41,GET,/lib/pkp/styles/fontawesome/fontawesome.css?v=3.3.0.21,/lib/pkp/styles/fontawesome/fontawesome.css?v=3.3.0.21,1776396281,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/page/page/css?name=stylesheet,/TEST/$$$call$$$/page/page/css?name=stylesheet,1776396281,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/page/page/css?name=font,/TEST/$$$call$$$/page/page/css?name=font,1776396281,200,normal,,
10.34.239.41,GET,/templates/images/ojs_brand.png,/templates/images/ojs_brand.png,1776396281,200,normal,,
10.34.239.41,GET,/lib/pkp/styles/fontawesome/fontawesome-webfont.woff2?v=4.7.0,/lib/pkp/styles/fontawesome/fontawesome-webfont.woff2?v=4.7.0,1776396281,200,normal,,
10.34.239.41,GET,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-700.woff2,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-700.woff2,1776396281,200,normal,,
10.34.239.41,GET,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-regular.woff2,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-regular.woff2,1776396281,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/components/jqueryui/jquery-ui.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/components/jqueryui/jquery-ui.min.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/components/jquery/jquery.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/components/jquery/jquery.min.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/popper/popper.js?v=3.3.0.21,/plugins/themes/default/js/lib/popper/popper.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/bootstrap/dropdown.js?v=3.3.0.21,/plugins/themes/default/js/lib/bootstrap/dropdown.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/bootstrap/util.js?v=3.3.0.21,/plugins/themes/default/js/lib/bootstrap/util.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/plugins/themes/default/js/main.js?v=3.3.0.21,/plugins/themes/default/js/main.js?v=3.3.0.21,1776396281,304,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/bootstrap/util.js?v=3.3.0.21,/plugins/themes/default/js/lib/bootstrap/util.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/components/jquery/jquery.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/components/jquery/jquery.min.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/bootstrap/dropdown.js?v=3.3.0.21,/plugins/themes/default/js/lib/bootstrap/dropdown.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/plugins/themes/default/js/lib/popper/popper.js?v=3.3.0.21,/plugins/themes/default/js/lib/popper/popper.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/plugins/themes/default/js/main.js?v=3.3.0.21,/plugins/themes/default/js/main.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/components/jqueryui/jquery-ui.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/components/jqueryui/jquery-ui.min.js?v=3.3.0.21,1776396282,200,normal,,
10.34.239.41,GET,/TEST/issue/archive,/TEST/issue/archive,1776396291,200,normal,,
10.34.239.41,GET,/TEST/user/register,/TEST/user/register,1776396295,200,normal,,
10.34.239.41,GET,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-italic.woff2,/lib/pkp/styles/fonts/noto-sans-v11-vietnamese_latin-ext_latin_greek-ext_greek_devanagari_cyrillic-ext_cyrillic-italic.woff2,1776396295,200,normal,,
10.34.239.41,GET,/TEST/login,/TEST/login,1776396301,200,normal,,
10.34.239.41,GET,/TEST/user/register,/TEST/user/register,1776396303,200,normal,,
10.34.239.41,GET,/TEST/login,/TEST/login,1776396329,200,normal,,
10.34.239.41,POST,/TEST/login/signIn,/TEST/login/signIn,1776396331,302,normal,,
10.34.239.41,GET,/TEST/submissions,/TEST/submissions,1776396331,200,normal,,
10.34.239.41,GET,/styles/build.css?v=3.3.0.21,/styles/build.css?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/js/lib/jquery/plugins/validate/jquery.validate.min.js?v=3.3.0.21,/lib/pkp/js/lib/jquery/plugins/validate/jquery.validate.min.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/jquery.ui.plupload/jquery.ui.plupload.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/jquery.ui.plupload/jquery.ui.plupload.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/i18n/en.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/i18n/en.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/TEST/$$$call$$$/page/page/css?v=3.3.0.21,/TEST/$$$call$$$/page/page/css?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/plupload.full.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/plupload.full.min.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/i18n/en.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/i18n/en.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/js/lib/jquery/plugins/validate/jquery.validate.min.js?v=3.3.0.21,/lib/pkp/js/lib/jquery/plugins/validate/jquery.validate.min.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/jquery.ui.plupload/jquery.ui.plupload.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/jquery.ui.plupload/jquery.ui.plupload.js?v=3.3.0.21,1776396331,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/tinymce.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/tinymce/tinymce/tinymce.min.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/js/pkp.min.js?v=3.3.0.21,/js/pkp.min.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/moxiecode/plupload/js/plupload.full.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/moxiecode/plupload/js/plupload.full.min.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/js/build.js?v=3.3.0.21,/js/build.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/js/pkp.min.js?v=3.3.0.21,/js/pkp.min.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/lib/pkp/lib/vendor/tinymce/tinymce/tinymce.min.js?v=3.3.0.21,/lib/pkp/lib/vendor/tinymce/tinymce/tinymce.min.js?v=3.3.0.21,1776396332,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776396331998,/TEST/api/v1/_submissions?status=1&assignedTo=-1&searchPhrase=&count=30&offset=0&_=1776396331998,1776396333,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776396331999,/TEST/api/v1/_submissions?status=1&searchPhrase=&count=30&offset=0&_=1776396331999,1776396333,200,normal,,
10.34.239.41,GET,/TEST/api/v1/_submissions?status%5B%5D=4&status%5B%5D=3&status%5B%5D=5&searchPhrase=&count=30&offset=0&_=1776396332000,/TEST/api/v1/_submissions?status[]=4&status[]=3&status[]=5&searchPhrase=&count=30&offset=0&_=1776396332000,1776396333,200,normal,,
10.34.239.41,GET,/js/build.js?v=3.3.0.21,/js/build.js?v=3.3.0.21,1776396333,200,normal,,
10.34.239.41,GET,/TEST/workflow/access/2,/TEST/workflow/access/2,1776396346,302,normal,,
